-1-10-11-10-1-1 1
-1-10-11-10-11 0
-1-10-11-101-1 1
-1-10-11-11-10 0
-1-10-11-110-1 0
-1-10-110-1-1-1 8
-1-10-110-1-11 0
-1-10-110-101 0
-1-10-110-11-1 1
-1-10-1100-11 0
-1-10-1101-1-1 0
-1-10-111-1-10 3
-1-10-111-10-1 3
-1-10-111-100 3
-1-10-1110-1-1 3
-1-10-1110-10 3
-1-100-1-1-1-11 1
-1-100-1-1-11-1 0
-1-100-1-1-111 4
-1-100-1-11-1-1 0
-1-100-1-11-11 4
-1-100-101-11 0
-1-100-1011-1 8
-1-100-11-1-1-1 0
-1-100-11-1-11 0
-1-100-11-11-1 0
-1-100-111-1-1 0
-1-1000-1-111 1
-1-1000-11-11 5
-1-100011-1-1 0
-1-100011-11 0
-1-10001101 1
-1-1001-1-1-1-1 0
-1-1001-1-1-11 0
-1-1001-1-101 0
-1-1001-1-11-1 1
-1-1001-10-11 0
-1-1001-11-1-1 0
-1-1001-110-1 0
-1-10010-1-11 0
-1-10010-111 1
-1-100101-11 1
-1-10011-1-1-1 0
-1-10011-1-10 0
-1-10011-10-1 0
-1-10011-110 1
-1-100110-1-1 0
-1-100111-10 0
-1-101-1-1-1-1-1 0
-1-101-1-1-1-10 5
-1-101-1-1-10-1 1
-1-101-1-1-101 0
-1-101-1-1-110 0
-1-101-1-10-1-1 4
-1-101-1-10-11 0
-1-101-1-1001 1
-1-101-1-101-1 0
-1-101-1-1010 1
-1-101-1-110-1 0
-1-101-10-1-1-1 7
-1-101-10-1-11 0
-1-101-10-11-1 0
-1-101-1001-1 1
-1-101-10011 0
-1-101-101-1-1 8
-1-101-11-1-10 4
-1-101-110-1-1 4
-1-101-110-10 4
-1-101-1100-1 1
-1-101-11010 0
-1-1010-1-1-1-1 6
-1-1010-1-1-11 6
-1-1010-1-11-1 0
-1-1010-11-1-1 0
-1-10101-1-1-1 0
-1-10101-1-10 7
-1-101011-10 0
-1-1011-1-1-10 5
-1-1011-1-10-1 5
-1-1011-10-1-1 5
-1-1011-10-10 5
-1-1011-100-1 5
-1-1011-1010 1
-1-10110-1-1-1 0
-1-10110-10-1 6
-1-101100-1-1 8
-1-101100-11 0
-1-10110001 0
-1-1011001-1 8
-1-11-1-1-1-1-10 0
-1-11-1-1-1-10-1 0
-1-11-1-1-1-100 5
-1-11-1-1-10-1-1 0
-1-11-1-1-10-10 7
-1-11-1-1-100-1 5
-1-11-1-1-1001 1
-1-11-1-1-1010 0
-1-11-1-10-1-1-1 0
-1-11-1-10-1-10 0
-1-11-1-10-10-1 0
-1-11-1-10-101 0
-1-11-1-10-110 1
-1-11-1-100-1-1 0
-1-11-1-100-11 0
-1-11-1-1001-1 0
-1-11-1-101-10 3
-1-11-1-1010-1 1
-1-11-1-10100 0
-1-11-1-11-100 0
-1-11-1-110-10 7
-1-11-1-1100-1 1
-1-11-10-1-1-1-1 0
-1-11-10-1-1-10 0
-1-11-10-1-10-1 1
-1-11-10-1-101 1
-1-11-10-1-110 0
-1-11-10-10-1-1 0
-1-11-10-10-11 1
-1-11-10-101-1 0
-1-11-10-11-10 0
-1-11-100-1-1-1 3
-1-11-100-1-11 0
-1-11-100-11-1 0
-1-11-100-110 0
-1-11-1000-11 1
-1-11-1001-1-1 0
-1-11-101-1-10 0
-1-11-101-100 0
-1-11-1010-1-1 1
-1-11-1010-10 0
-1-11-11-1-100 6
-1-11-11-10-10 0
-1-11-11-100-1 0
-1-11-110-1-10 1
-1-11-110-10-1 6
